Field ID,Description,Category,Type
5993,"ECG, number of stages in a phase",ECG during exercise,
5992,"ECG, phase duration",ECG during exercise,
5991,"ECG, phase name",ECG during exercise,
5986,"ECG, phase time",ECG during exercise,
5990,"ECG, stage duration",ECG during exercise,
5988,"ECG, stage name",ECG during exercise,
5987,"ECG, trend phase name",ECG during exercise,
6019,ECG/bike method for fitness test,ECG during exercise,
1727,Ease of skin tanning,Sun exposure,
25923,Echo Time for rfMRI,Resting functional brain MRI,
25924,Echo Time for tfMRI,Task functional brain MRI,
12683,End systolic pressure during PWA,Pulse wave analysis,
12684,End systolic pressure index during PWA,Pulse wave analysis,
30150,Eosinophill count,Blood count,
30154,Eosinophill count acquisition route,Blood count processing,
30152,Eosinophill count acquisition time,Blood count processing,
30153,Eosinophill count device ID,Blood count processing,
30151,Eosinophill count freeze-thaw cycles,Blood count processing,
30210,Eosinophill percentage,Blood count,
30214,Eosinophill percentage acquisition route,Blood count processing,
30212,Eosinophill percentage acquisition time,Blood count processing,
30213,Eosinophill percentage device ID,Blood count processing,
30211,Eosinophill percentage freeze-thaw cycles,Blood count processing,
25747,Eprime advisor file,Task functional brain MRI,‡
25749,Eprime ed2 file,Task functional brain MRI,‡
12706,Eprime error flag,Task functional brain MRI,
25748,Eprime txt file,Task functional brain MRI,‡
6771,Errors before selecting correct item in alphanumeric path (trail #2),Trail making,
6770,Errors before selecting correct item in numeric path (trail #1),Trail making,
30897,Estimated sample dilution factor,Blood biochemistry processing,
21000,Ethnic background,Ethnicity,
4598,Ever depressed for a whole week,Mental health,
2345,Ever had bowel cancer screening,Cancer screening,
2674,Ever had breast cancer screening / mammogram,Female-specific factors,
5324,Ever had cataract surgery,Eye surgery/complications,
2694,Ever had cervical smear test,Female-specific factors,
5328,Ever had corneal graft surgery,Eye surgery/complications,
5181,Ever had eye surgery,Eye surgery/complications,
3591,Ever had hysterectomy (womb removed),Female-specific factors,
5327,Ever had laser treatment for glaucoma or high eye pressure,Eye surgery/complications,
2365,Ever had prostate specific antigen (PSA) test,Cancer screening,
5325,Ever had refractive laser eye surgery,Eye surgery/complications,
2159,Ever had same-sex intercourse,Sexual factors,
2774,"Ever had stillbirth, spontaneous miscarriage or termination",Female-specific factors,
5326,Ever had surgery for glaucoma or high eye pressure,Eye surgery/complications,
4653,Ever highly irritable/argumentative for 2 days,Mental health,
4642,Ever manic/hyper for 2 days,Mental health,
20160,Ever smoked,Smoking,
2907,Ever stopped smoking for 6+ months,Smoking,
10827,Ever stopped smoking for 6+ months (pilot),Smoking,
2784,Ever taken oral contraceptive pill,Female-specific factors,
3486,Ever tried to stop smoking,Smoking,
4631,Ever unenthusiastic/disinterested for a whole week,Mental health,
2814,Ever used hormone-replacement therapy (HRT),Female-specific factors,
20214,Experimental shMOLLI sequence images - DICOM,Heart MRI,‡
1269,Exposure to tobacco smoke at home,Smoking,
1279,Exposure to tobacco smoke outside home,Smoking,
21736,Eye measures authorisation,Process authorisation,
5198,Eye measures duration,Process durations,
21636,Eye measures duration,Process durations,
21836,Eye measures sign-off timestamp,Process completion times,
6148,Eye problems/disorders,Eyesight,
21011,FDA data file (left),Retinal optical coherence tomography,‡
21013,FDA data file (right),Retinal optical coherence tomography,‡
21012,FDS data file (left),Retinal optical coherence tomography,‡
21014,FDS data file (right),Retinal optical coherence tomography,‡
4935,FI1 : numeric addition test,Fluid intelligence / reasoning,
20165,FI1 : numeric addition test,Fluid intelligence / reasoning,
5699,FI10 : arithmetic sequence recognition,Fluid intelligence / reasoning,
20183,FI10 : arithmetic sequence recognition,Fluid intelligence / reasoning,
5779,FI11 : antonym,Fluid intelligence / reasoning,
20185,FI11 : antonym,Fluid intelligence / reasoning,
5790,FI12 : square sequence recognition,Fluid intelligence / reasoning,
20187,FI12 : square sequence recognition,Fluid intelligence / reasoning,
5866,FI13 : subset inclusion logic,Fluid intelligence / reasoning,
20189,FI13 : subset inclusion logic,Fluid intelligence / reasoning,
4946,FI2 : identify largest number,Fluid intelligence / reasoning,
20167,FI2 : identify largest number,Fluid intelligence / reasoning,
4957,FI3 : word interpolation,Fluid intelligence / reasoning,
20169,FI3 : word interpolation,Fluid intelligence / reasoning,
4968,FI4 : positional arithmetic,Fluid intelligence / reasoning,
20171,FI4 : positional arithmetic,Fluid intelligence / reasoning,
4979,FI5 : family relationship calculation,Fluid intelligence / reasoning,
20173,FI5 : family relationship calculation,Fluid intelligence / reasoning,
4990,FI6 : conditional arithmetic,Fluid intelligence / reasoning,
20175,FI6 : conditional arithmetic,Fluid intelligence / reasoning,
5001,FI7 : synonym,Fluid intelligence / reasoning,
20177,FI7 : synonym,Fluid intelligence / reasoning,
5012,FI8 : chained arithmetic,Fluid intelligence / reasoning,
20179,FI8 : chained arithmetic,Fluid intelligence / reasoning,
5556,FI9 : concept interpolation,Fluid intelligence / reasoning,
20181,FI9 : concept interpolation,Fluid intelligence / reasoning,
24352,FR liver PDFF mean,Abdominal composition,
23364,FR liver PDFF mean error indicator,Abdominal composition,
1757,Facial ageing,Sun exposure,
4067,Facial pains for 3+ months,Pain,
2296,Falls in the last year,General health,
4559,Family relationship satisfaction,Mental health,
74,Fasting time,Blood sample collection,
1797,Father still alive,Family history,
2946,Father's age,Family history,
1807,Father's age at death,Family history,
146,Father's day of birth,Early life factors,#
115,Father's month of birth,Early life factors,#
1960,Fed-up feelings,Mental health,
23302,Femur lower neck BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23206,Femur lower neck BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23294,Femur lower neck BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23207,Femur lower neck BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23327,Femur neck BMC (bone mineral content) (left),"Bone size, mineral and density by DXA",
23328,Femur neck BMC (bone mineral content) (right),"Bone size, mineral and density by DXA",
23299,Femur neck BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23208,Femur neck BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23300,Femur neck BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23209,Femur neck BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23325,Femur neck bone area (left),"Bone size, mineral and density by DXA",
23326,Femur neck bone area (right),"Bone size, mineral and density by DXA",
23331,Femur shaft BMC (bone mineral content) (left),"Bone size, mineral and density by DXA",
23332,Femur shaft BMC (bone mineral content) (right),"Bone size, mineral and density by DXA",
23290,Femur shaft BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23210,Femur shaft BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23303,Femur shaft BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23211,Femur shaft BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23329,Femur shaft bone area (left),"Bone size, mineral and density by DXA",
23330,Femur shaft bone area (right),"Bone size, mineral and density by DXA",
23335,Femur total BMC (bone mineral content) (left),"Bone size, mineral and density by DXA",
23336,Femur total BMC (bone mineral content) (right),"Bone size, mineral and density by DXA",
23291,Femur total BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23212,Femur total BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23293,Femur total BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23213,Femur total BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23333,Femur total area (left),"Bone size, mineral and density by DXA",
23334,Femur total area (right),"Bone size, mineral and density by DXA",
23339,Femur troch BMC (bone mineral content) (left),"Bone size, mineral and density by DXA",
23340,Femur troch BMC (bone mineral content) (right),"Bone size, mineral and density by DXA",
23295,Femur troch BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23214,Femur troch BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23298,Femur troch BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23215,Femur troch BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23337,Femur troch bone area (left),"Bone size, mineral and density by DXA",
23338,Femur troch bone area (right),"Bone size, mineral and density by DXA",
23292,Femur upper neck BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23216,Femur upper neck BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23296,Femur upper neck BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23217,Femur upper neck BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23343,Femur wards BMC (bone mineral content) (left),"Bone size, mineral and density by DXA",
23344,Femur wards BMC (bone mineral content) (right),"Bone size, mineral and density by DXA",
23297,Femur wards BMD (bone mineral density) (left),"Bone size, mineral and density by DXA",
23218,Femur wards BMD (bone mineral density) (right),"Bone size, mineral and density by DXA",
23301,Femur wards BMD (bone mineral density) T-score (left),"Bone size, mineral and density by DXA",
23219,Femur wards BMD (bone mineral density) T-score (right),"Bone size, mineral and density by DXA",
23341,Femur wards bone area (left),"Bone size, mineral and density by DXA",
23342,Femur wards bone area (left),"Bone size, mineral and density by DXA",
4294,Final attempt correct,Prospective memory,
5207,Final number of letters displayed (left),Visual acuity,
5200,Final number of letters displayed (right),Visual acuity,
4581,Financial situation satisfaction,Mental health,
6362,First code array presented,Symbol digit substitution,
20196,First code array presented,Symbol digit substitution,
6025,"Fitness test results, including ECG data",ECG during exercise,‡
20016,Fluid intelligence score,Fluid intelligence / reasoning,
20191,Fluid intelligence score,Fluid intelligence / reasoning,
3081,Foot measured for bone density,Bone-densitometry of heel,
3063,Forced expiratory volume in 1-second (FEV1),Spirometry,
10695,Forced expiratory volume in 1-second (FEV1) (pilot),Spirometry,
20150,"Forced expiratory volume in 1-second (FEV1), Best measure",Spirometry,
20153,"Forced expiratory volume in 1-second (FEV1), predicted",Spirometry,
20154,"Forced expiratory volume in 1-second (FEV1), predicted percentage",Spirometry,
3062,Forced vital capacity (FVC),Spirometry,
10694,Forced vital capacity (FVC) (pilot),Spirometry,
20151,"Forced vital capacity (FVC), Best measure",Spirometry,
3731,Former alcohol drinker,Alcohol,
3005,Fracture resulting from simple fall,Medical conditions,
6151,Fractured bone site(s),Medical conditions,
3082,Fractured heel,Bone-densitometry of heel,
4093,Fractured heel (left),Bone-densitometry of heel,
4096,Fractured heel (right),Bone-densitometry of heel,
2463,Fractured/broken bones in last 5 years,Medical conditions,
23486,Free Cholesterol in Chylomicrons and Extremely Large VLDL,NMR metabolomics,
23786,"Free Cholesterol in Chylomicrons and Extremely Large VLDL, QC Flag",NMR metabolomics QC indicators,
23422,Free Cholesterol in HDL,NMR metabolomics,
23722,"Free Cholesterol in HDL, QC Flag",NMR metabolomics QC indicators,
23528,Free Cholesterol in IDL,NMR metabolomics,
23828,"Free Cholesterol in IDL, QC Flag",NMR metabolomics QC indicators,
23421,Free Cholesterol in LDL,NMR metabolomics,
23721,"Free Cholesterol in LDL, QC Flag",NMR metabolomics QC indicators,
23563,Free Cholesterol in Large HDL,NMR metabolomics,
23863,"Free Cholesterol in Large HDL, QC Flag",NMR metabolomics QC indicators,
23535,Free Cholesterol in Large LDL,NMR metabolomics,
23835,"Free Cholesterol in Large LDL, QC Flag",NMR metabolomics QC indicators,
23500,Free Cholesterol in Large VLDL,NMR metabolomics,
23800,"Free Cholesterol in Large VLDL, QC Flag",NMR metabolomics QC indicators,
23570,Free Cholesterol in Medium HDL,NMR metabolomics,
23870,"Free Cholesterol in Medium HDL, QC Flag",NMR metabolomics QC indicators,
23542,Free Cholesterol in Medium LDL,NMR metabolomics,
23842,"Free Cholesterol in Medium LDL, QC Flag",NMR metabolomics QC indicators,
23507,Free Cholesterol in Medium VLDL,NMR metabolomics,
23807,"Free Cholesterol in Medium VLDL, QC Flag",NMR metabolomics QC indicators,
23577,Free Cholesterol in Small HDL,NMR metabolomics,
23877,"Free Cholesterol in Small HDL, QC Flag",NMR metabolomics QC indicators,
23549,Free Cholesterol in Small LDL,NMR metabolomics,
23849,"Free Cholesterol in Small LDL, QC Flag",NMR metabolomics QC indicators,
23514,Free Cholesterol in Small VLDL,NMR metabolomics,
23814,"Free Cholesterol in Small VLDL, QC Flag",NMR metabolomics QC indicators,
23420,Free Cholesterol in VLDL,NMR metabolomics,
23720,"Free Cholesterol in VLDL, QC Flag",NMR metabolomics QC indicators,
23556,Free Cholesterol in Very Large HDL,NMR metabolomics,
23856,"Free Cholesterol in Very Large HDL, QC Flag",NMR metabolomics QC indicators,
23493,Free Cholesterol in Very Large VLDL,NMR metabolomics,
23793,"Free Cholesterol in Very Large VLDL, QC Flag",NMR metabolomics QC indicators,
23521,Free Cholesterol in Very Small VLDL,NMR metabolomics,
23821,"Free Cholesterol in Very Small VLDL, QC Flag",NMR metabolomics QC indicators,
23582,Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,NMR metabolomics,
23882,"Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage, QC Flag",NMR metabolomics QC indicators,
23612,Free Cholesterol to Total Lipids in IDL percentage,NMR metabolomics,
23912,"Free Cholesterol to Total Lipids in IDL percentage, QC Flag",NMR metabolomics QC indicators,
23637,Free Cholesterol to Total Lipids in Large HDL percentage,NMR metabolomics,
23937,"Free Cholesterol to Total Lipids in Large HDL percentage, QC Flag",NMR metabolomics QC indicators,
23617,Free Cholesterol to Total Lipids in Large LDL percentage,NMR metabolomics,
23917,"Free Cholesterol to Total Lipids in Large LDL percentage, QC Flag",NMR metabolomics QC indicators,
23592,Free Cholesterol to Total Lipids in Large VLDL percentage,NMR metabolomics,
23892,"Free Cholesterol to Total Lipids in Large VLDL percentage, QC Flag",NMR metabolomics QC indicators,
23642,Free Cholesterol to Total Lipids in Medium HDL percentage,NMR metabolomics,
23942,"Free Cholesterol to Total Lipids in Medium HDL percentage, QC Flag",NMR metabolomics QC indicators,
23622,Free Cholesterol to Total Lipids in Medium LDL percentage,NMR metabolomics,
23922,"Free Cholesterol to Total Lipids in Medium LDL percentage, QC Flag",NMR metabolomics QC indicators,
23597,Free Cholesterol to Total Lipids in Medium VLDL percentage,NMR metabolomics,
23897,"Free Cholesterol to Total Lipids in Medium VLDL percentage, QC Flag",NMR metabolomics QC indicators,
23647,Free Cholesterol to Total Lipids in Small HDL percentage,NMR metabolomics,
23947,"Free Cholesterol to Total Lipids in Small HDL percentage, QC Flag",NMR metabolomics QC indicators,
23627,Free Cholesterol to Total Lipids in Small LDL percentage,NMR metabolomics,
23927,"Free Cholesterol to Total Lipids in Small LDL percentage, QC Flag",NMR metabolomics QC indicators,
23602,Free Cholesterol to Total Lipids in Small VLDL percentage,NMR metabolomics,
23902,"Free Cholesterol to Total Lipids in Small VLDL percentage, QC Flag",NMR metabolomics QC indicators,
23632,Free Cholesterol to Total Lipids in Very Large HDL percentage,NMR metabolomics,
23932,"Free Cholesterol to Total Lipids in Very Large HDL percentage, QC Flag",NMR metabolomics QC indicators,
23587,Free Cholesterol to Total Lipids in Very Large VLDL percentage,NMR metabolomics,
23887,"Free Cholesterol to Total Lipids in Very Large VLDL percentage, QC Flag",NMR metabolomics QC indicators,
23607,Free Cholesterol to Total Lipids in Very Small VLDL percentage,NMR metabolomics,
23907,"Free Cholesterol to Total Lipids in Very Small VLDL percentage, QC Flag",NMR metabolomics QC indicators,
2050,Frequency of depressed mood in last 2 weeks,Mental health,
1031,Frequency of friend/family visits,Social support,
10740,Frequency of friend/family visits (pilot),Social support,
2624,Frequency of heavy DIY in last 4 weeks,Physical activity,
1011,Frequency of light DIY in last 4 weeks,Physical activity,
3637,Frequency of other exercises in last 4 weeks,Physical activity,
2277,Frequency of solarium/sunlamp use,Sun exposure,
943,Frequency of stair climbing in last 4 weeks,Physical activity,
991,Frequency of strenuous sports in last 4 weeks,Physical activity,
2070,Frequency of tenseness / restlessness in last 2 weeks,Mental health,
2080,Frequency of tiredness / lethargy in last 2 weeks,Mental health,
777,Frequency of travelling from home to job workplace,Employment,
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,Mental health,
971,Frequency of walking for pleasure in last 4 weeks,Physical activity,
1309,Fresh fruit intake,Diet,
4570,Friendships satisfaction,Mental health,
20225,Functional brain images - resting - DICOM,Resting functional brain MRI,‡
20227,Functional brain images - resting - NIFTI,Resting functional brain MRI,‡
20217,Functional brain images - task - DICOM,Task functional brain MRI,‡
20249,Functional brain images - task - NIFTI,Task functional brain MRI,‡
21015,Fundus retinal eye image (left),Retinal optical coherence tomography,‡
21016,Fundus retinal eye image (right),Retinal optical coherence tomography,‡
30730,Gamma glutamyltransferase,Blood biochemistry,
30732,Gamma glutamyltransferase aliquot,Blood biochemistry processing,
30731,Gamma glutamyltransferase assay date,Blood biochemistry processing,
30733,Gamma glutamyltransferase correction level,Blood biochemistry processing,
30734,Gamma glutamyltransferase correction reason,Blood biochemistry processing,
30735,Gamma glutamyltransferase missing reason,Blood biochemistry processing,
30736,Gamma glutamyltransferase reportability,Blood biochemistry processing,
6139,Gas or solid-fuel cooking/heating,Household,
10860,Gas or solid-fuel cooking/heating (pilot),Household,
2956,General pain for 3+ months,Pain,
4041,Gestational diabetes only,Medical conditions,
10844,Gestational diabetes only (pilot),Medical conditions,
1170,Getting up in morning,Sleep,
6075,Glasses worn/required (left),Visual acuity,
6074,Glasses worn/required (right),Visual acuity,
23470,Glucose,NMR metabolomics,
30740,Glucose,Blood biochemistry,
30742,Glucose aliquot,Blood biochemistry processing,
30741,Glucose assay date,Blood biochemistry processing,
30743,Glucose correction level,Blood biochemistry processing,
30744,Glucose correction reason,Blood biochemistry processing,
30745,Glucose missing reason,Blood biochemistry processing,
30746,Glucose reportability,Blood biochemistry processing,
23770,"Glucose, QC Flag",NMR metabolomics QC indicators,
23461,Glutamine,NMR metabolomics,
23761,"Glutamine, QC Flag",NMR metabolomics QC indicators,
30750,Glycated haemoglobin (HbA1c),Blood biochemistry,
30751,Glycated haemoglobin (HbA1c) assay date,Blood biochemistry processing,
30753,Glycated haemoglobin (HbA1c) correction level,Blood biochemistry processing,
30754,Glycated haemoglobin (HbA1c) correction reason,Blood biochemistry processing,
30755,Glycated haemoglobin (HbA1c) missing reason,Blood biochemistry processing,
30756,Glycated haemoglobin (HbA1c) reportability,Blood biochemistry processing,
23462,Glycine,NMR metabolomics,
23762,"Glycine, QC Flag",NMR metabolomics QC indicators,
23480,Glycoprotein Acetyls,NMR metabolomics,
23780,"Glycoprotein Acetyls, QC Flag",NMR metabolomics QC indicators,
24500,"Greenspace percentage, buffer 1000m",Greenspace and coastal proximity,
24503,"Greenspace percentage, buffer 300m",Greenspace and coastal proximity,
26990,Grey-white contrast in bankssts (left hemisphere),Freesurfer desikan gw,
27025,Grey-white contrast in bankssts (right hemisphere),Freesurfer desikan gw,
26991,Grey-white contrast in caudalanteriorcingulate (left hemisphere),Freesurfer desikan gw,
27026,Grey-white contrast in caudalanteriorcingulate (right hemisphere),Freesurfer desikan gw,
26992,Grey-white contrast in caudalmiddlefrontal (left hemisphere),Freesurfer desikan gw,
27027,Grey-white contrast in caudalmiddlefrontal (right hemisphere),Freesurfer desikan gw,
26993,Grey-white contrast in cuneus (left hemisphere),Freesurfer desikan gw,
27028,Grey-white contrast in cuneus (right hemisphere),Freesurfer desikan gw,
26994,Grey-white contrast in entorhinal (left hemisphere),Freesurfer desikan gw,
27029,Grey-white contrast in entorhinal (right hemisphere),Freesurfer desikan gw,
27020,Grey-white contrast in frontalpole (left hemisphere),Freesurfer desikan gw,
27055,Grey-white contrast in frontalpole (right hemisphere),Freesurfer desikan gw,
26995,Grey-white contrast in fusiform (left hemisphere),Freesurfer desikan gw,
27030,Grey-white contrast in fusiform (right hemisphere),Freesurfer desikan gw,
26996,Grey-white contrast in inferiorparietal (left hemisphere),Freesurfer desikan gw,
27031,Grey-white contrast in inferiorparietal (right hemisphere),Freesurfer desikan gw,
26997,Grey-white contrast in inferiortemporal (left hemisphere),Freesurfer desikan gw,
27032,Grey-white contrast in inferiortemporal (right hemisphere),Freesurfer desikan gw,
27023,Grey-white contrast in insula (left hemisphere),Freesurfer desikan gw,
27058,Grey-white contrast in insula (right hemisphere),Freesurfer desikan gw,
26998,Grey-white contrast in isthmuscingulate (left hemisphere),Freesurfer desikan gw,
27033,Grey-white contrast in isthmuscingulate (right hemisphere),Freesurfer desikan gw,
26999,Grey-white contrast in lateraloccipital (left hemisphere),Freesurfer desikan gw,
27034,Grey-white contrast in lateraloccipital (right hemisphere),Freesurfer desikan gw,
27000,Grey-white contrast in lateralorbitofrontal (left hemisphere),Freesurfer desikan gw,
27035,Grey-white contrast in lateralorbitofrontal (right hemisphere),Freesurfer desikan gw,
27001,Grey-white contrast in lingual (left hemisphere),Freesurfer desikan gw,
27036,Grey-white contrast in lingual (right hemisphere),Freesurfer desikan gw,
27002,Grey-white contrast in medialorbitofrontal (left hemisphere),Freesurfer desikan gw,
27037,Grey-white contrast in medialorbitofrontal (right hemisphere),Freesurfer desikan gw,
27003,Grey-white contrast in middletemporal (left hemisphere),Freesurfer desikan gw,
27038,Grey-white contrast in middletemporal (right hemisphere),Freesurfer desikan gw,
27005,Grey-white contrast in paracentral (left hemisphere),Freesurfer desikan gw,
27040,Grey-white contrast in paracentral (right hemisphere),Freesurfer desikan gw,
27004,Grey-white contrast in parahippocampal (left hemisphere),Freesurfer desikan gw,
27039,Grey-white contrast in parahippocampal (right hemisphere),Freesurfer desikan gw,
27006,Grey-white contrast in parsopercularis (left hemisphere),Freesurfer desikan gw,
27041,Grey-white contrast in parsopercularis (right hemisphere),Freesurfer desikan gw,
27007,Grey-white contrast in parsorbitalis (left hemisphere),Freesurfer desikan gw,
27042,Grey-white contrast in parsorbitalis (right hemisphere),Freesurfer desikan gw,
27008,Grey-white contrast in parstriangularis (left hemisphere),Freesurfer desikan gw,
27043,Grey-white contrast in parstriangularis (right hemisphere),Freesurfer desikan gw,
27009,Grey-white contrast in pericalcarine (left hemisphere),Freesurfer desikan gw,
27044,Grey-white contrast in pericalcarine (right hemisphere),Freesurfer desikan gw,
27010,Grey-white contrast in postcentral (left hemisphere),Freesurfer desikan gw,
27045,Grey-white contrast in postcentral (right hemisphere),Freesurfer desikan gw,
27011,Grey-white contrast in posteriorcingulate (left hemisphere),Freesurfer desikan gw,
27046,Grey-white contrast in posteriorcingulate (right hemisphere),Freesurfer desikan gw,
27012,Grey-white contrast in precentral (left hemisphere),Freesurfer desikan gw,
27047,Grey-white contrast in precentral (right hemisphere),Freesurfer desikan gw,
27013,Grey-white contrast in precuneus (left hemisphere),Freesurfer desikan gw,
27048,Grey-white contrast in precuneus (right hemisphere),Freesurfer desikan gw,
27014,Grey-white contrast in rostralanteriorcingulate (left hemisphere),Freesurfer desikan gw,
27049,Grey-white contrast in rostralanteriorcingulate (right hemisphere),Freesurfer desikan gw,
27015,Grey-white contrast in rostralmiddlefrontal (left hemisphere),Freesurfer desikan gw,
27050,Grey-white contrast in rostralmiddlefrontal (right hemisphere),Freesurfer desikan gw,
27016,Grey-white contrast in superiorfrontal (left hemisphere),Freesurfer desikan gw,
27051,Grey-white contrast in superiorfrontal (right hemisphere),Freesurfer desikan gw,
27017,Grey-white contrast in superiorparietal (left hemisphere),Freesurfer desikan gw,
27052,Grey-white contrast in superiorparietal (right hemisphere),Freesurfer desikan gw,
27018,Grey-white contrast in superiortemporal (left hemisphere),Freesurfer desikan gw,
27053,Grey-white contrast in superiortemporal (right hemisphere),Freesurfer desikan gw,
27019,Grey-white contrast in supramarginal (left hemisphere),Freesurfer desikan gw,
27054,Grey-white contrast in supramarginal (right hemisphere),Freesurfer desikan gw,
27021,Grey-white contrast in temporalpole (left hemisphere),Freesurfer desikan gw,
27056,Grey-white contrast in temporalpole (right hemisphere),Freesurfer desikan gw,
27022,Grey-white contrast in transversetemporal (left hemisphere),Freesurfer desikan gw,
27057,Grey-white contrast in transversetemporal (right hemisphere),Freesurfer desikan gw,
26989,Grey-white contrast in unknown (left hemisphere),Freesurfer desikan gw,
27024,Grey-white contrast in unknown (right hemisphere),Freesurfer desikan gw,
23042,GroEL antigen for Helicobacter pylori,Infectious Disease Antigens,
2030,Guilty feelings,Mental health,
23261,Gynoid bone mass,Body composition by DXA,
23262,Gynoid fat mass,Body composition by DXA,
23263,Gynoid lean mass,Body composition by DXA,
23264,Gynoid tissue fat percentage,Body composition by DXA,
23265,Gynoid total mass,Body composition by DXA,
23073,H. pylori Definition I seropositivity for Helicobacter pylori,Infectious Diseases,
23074,H. pylori Definition II seropositivity for Helicobacter pylori,Infectious Diseases,
23060,HBV seropositivity for Hepatitis B Virus,Infectious Diseases,
23016,HBc antigen for Hepatitis B Virus,Infectious Disease Antigens,
23017,HBe antigen for Hepatitis B Virus,Infectious Disease Antigens,
23061,HCV seropositivity for Hepatitis C Virus,Infectious Diseases,
23406,HDL Cholesterol,NMR metabolomics,
23706,"HDL Cholesterol, QC Flag",NMR metabolomics QC indicators,
30760,HDL cholesterol,Blood biochemistry,
30762,HDL cholesterol aliquot,Blood biochemistry processing,
30761,HDL cholesterol assay date,Blood biochemistry processing,
30763,HDL cholesterol correction level,Blood biochemistry processing,
30764,HDL cholesterol correction reason,Blood biochemistry processing,
30765,HDL cholesterol missing reason,Blood biochemistry processing,
30766,HDL cholesterol reportability,Blood biochemistry processing,
23055,HHV-6 overall seropositivity for Human Herpesvirus-6,Infectious Diseases,
23056,HHV-6A seropositivity for Human Herpesvirus-6,Infectious Diseases,
23057,HHV-6B seropositivity for Human Herpesvirus-6,Infectious Diseases,
23058,HHV-7 seropositivity for Human Herpesvirus-7,Infectious Diseases,
23025,HIV-1 env antigen for Human Immunodeficiency Virus,Infectious Disease Antigens,
23024,HIV-1 gag antigen for Human Immunodeficiency Virus,Infectious Disease Antigens,
23064,HIV-1 seropositivity for Human Immunodeficiency Virus,Infectious Diseases,
23068,HPV 16 Definition I seropositivity for Human Papillomavirus type-16,Infectious Diseases,
23075,HPV 16 Definition II seropositivity for Human Papillomavirus type-16,Infectious Diseases,
23069,HPV 18 seropositivity for Human Papillomavirus type-18,Infectious Diseases,
23050,HSV-1 seropositivity for Herpes Simplex virus-1,Infectious Diseases,
23051,HSV-2 seropositivity for Herpes Simplex virus-2,Infectious Diseases,
23023,HTLV-1 env antigen for Human T-Lymphotropic Virus 1,Infectious Disease Antigens,
23022,HTLV-1 gag antigen for Human T-Lymphotropic Virus 1,Infectious Disease Antigens,
23063,HTLV-1 seropositivity for Human T-Lymphotropic Virus 1,Infectious Diseases,
2415,Had major operations,Operations,
2724,Had menopause,Female-specific factors,
2844,Had other major operations,Operations,
30032,Haematocrit acquisition time,Blood count processing,
30031,Haematocrit freeze-thaw cycles,Blood count processing,
30030,Haematocrit percentage,Blood count,
30034,Haematocrit percentage acquisition route,Blood count processing,
30033,Haematocrit percentage device ID,Blood count processing,
30020,Haemoglobin concentration,Blood count,
30024,Haemoglobin concentration acquisition route,Blood count processing,
30022,Haemoglobin concentration acquisition time,Blood count processing,
30023,Haemoglobin concentration device ID,Blood count processing,
30021,Haemoglobin concentration freeze-thaw cycles,Blood count processing,
1747,"Hair colour (natural, before greying)",Sun exposure,
2395,Hair/balding pattern,Male-specific factors,
38,Hand grip dynamometer device ID,Hand grip strength,
46,Hand grip strength (left),Hand grip strength,
47,Hand grip strength (right),Hand grip strength,
1707,Handedness (chirality/laterality),Early life factors,
1130,Hands-free device/speakerphone use with mobile phone in last 3 month,Electronic device use,
4526,Happiness,Mental health,
23306,Head BMC (bone mineral content),"Bone size, mineral and density by DXA",
23226,Head BMD (bone mineral density),"Bone size, mineral and density by DXA",
23305,Head bone area,"Bone size, mineral and density by DXA",
3799,Headaches for 3+ months,Pain,
4548,Health satisfaction,Mental health,
3393,Hearing aid user,Hearing,
2247,Hearing difficulty/problems,Hearing,
10793,Hearing difficulty/problems (pilot),Hearing,
